AGE,DEFAULT,AL,DC,MA,MN,MS,OR,UT
<14,0.765,0.635,0.654,0.751,0.89,0.635,0.635,0.793
15,0.833,0.635,0.654,0.751,0.89,0.635,0.635,0.793
16,0.859,0.635,0.654,0.751,0.89,0.635,0.635,0.793
17,0.885,0.635,0.654,0.751,0.89,0.635,0.635,0.793
18,0.913,0.635,0.654,0.751,0.89,0.635,0.635,0.793
19,0.941,0.635,0.654,0.751,0.89,0.635,0.635,0.793
20,0.97,0.635,0.654,0.751,0.89,0.635,0.635,0.793
21,1.0,1.0,0.727,1.183,1.0,1.0,1.0,1.0
22,1.0,1.0,0.727,1.183,1.0,1.0,1.0,1.05
23,1.0,1.0,0.727,1.183,1.0,1.0,1.0,1.113
24,1.0,1.0,0.727,1.183,1.0,1.0,1.0,1.191
25,1.004,1.004,0.727,1.183,1.004,1.004,1.004,1.298
26,1.024,1.024,0.727,1.183,1.024,1.024,1.024,1.363
27,1.048,1.048,0.727,1.22,1.048,1.048,1.048,1.39
28,1.087,1.087,0.744,1.25,1.087,1.087,1.087,1.39
29,1.119,1.119,0.76,1.275,1.119,1.119,1.119,1.39
30,1.135,1.135,0.779,1.287,1.135,1.135,1.135,1.39
31,1.159,1.159,0.799,1.305,1.159,1.159,1.159,1.39
32,1.183,1.183,0.817,1.323,1.183,1.183,1.183,1.39
33,1.198,1.198,0.836,1.334,1.198,1.198,1.198,1.39
34,1.214,1.214,0.856,1.346,1.214,1.214,1.214,1.39
35,1.222,1.222,0.876,1.352,1.222,1.222,1.222,1.39
36,1.23,1.23,0.896,1.358,1.23,1.23,1.23,1.39
37,1.238,1.238,0.916,1.363,1.238,1.238,1.238,1.404
38,1.246,1.246,0.927,1.369,1.246,1.246,1.246,1.425
39,1.262,1.262,0.938,1.381,1.262,1.262,1.262,1.45
40,1.278,1.278,0.975,1.393,1.278,1.278,1.278,1.479
41,1.302,1.302,1.013,1.41,1.302,1.302,1.302,1.516
42,1.325,1.325,1.053,1.427,1.325,1.325,1.325,1.562
43,1.357,1.357,1.094,1.45,1.357,1.357,1.357,1.616
44,1.397,1.397,1.137,1.478,1.397,1.397,1.397,1.681
45,1.444,1.444,1.181,1.511,1.444,1.444,1.444,1.748
46,1.5,1.5,1.227,1.55,1.5,1.5,1.5,1.818
47,1.563,1.563,1.275,1.593,1.563,1.563,1.563,1.891
48,1.635,1.635,1.325,1.641,1.635,1.635,1.635,1.966
49,1.706,1.706,1.377,1.688,1.706,1.706,1.706,2.045
50,1.786,1.786,1.431,1.741,1.786,1.786,1.786,2.127
51,1.865,1.865,1.487,1.792,1.865,1.865,1.865,2.212
52,1.952,1.952,1.545,1.847,1.952,1.952,1.952,2.3
53,2.04,2.04,1.605,1.902,2.04,2.04,2.04,2.392
54,2.135,2.135,1.668,1.961,2.135,2.135,2.135,2.488
55,2.23,2.23,1.733,2.019,2.23,2.23,2.23,2.588
56,2.333,2.333,1.801,2.08,2.333,2.333,2.333,2.691
57,2.437,2.437,1.871,2.142,2.437,2.437,2.437,2.799
58,2.548,2.548,1.944,2.206,2.548,2.548,2.548,2.911
59,2.603,2.603,2.02,2.28,2.603,2.603,2.603,3.0
60,2.714,2.714,2.099,2.365,2.714,2.714,2.714,3.0
61,2.81,2.81,2.181,2.365,2.81,2.81,2.81,3.0
62,2.873,2.873,2.181,2.365,2.873,2.873,2.873,3.0
63,2.952,2.952,2.181,2.365,2.952,2.952,2.952,3.0
>64,3.0,3.0,2.181,2.365,3.0,3.0,3.0,3.0
